when  	WRB
news  	NN
trade  	NN
deficit  	NN
Japan  	NNP
refusal  	NN
ease  	VB
monetary  	JJ
Financial  	NNP
issues  	NNS
most  	JJS
sensitive  	JJ
stimulated  	VBN
adds  	VBZ
accompanying  	VBG
advance  	NN
Bond  	NN
advanced  	VBD
mixed  	JJ
signals  	NNS
provided  	VBN
reports  	NNS
eventually  	RB
followed  	VBD
suit  	NN
rebounding  	VBG
mid-session  	NN
lows  	NNS
turning  	VBG
final  	JJ
hour  	NN
achieved  	VBN
moderate  	JJ
victim  	NN
renewed  	VB
corresponding  	JJ
slump  	NN
bonds  	NNS
took  	VBD
off  	RP
midsession  	NN
sudden  	JJ
posted  	VBD
sharpest  	JJS
than  	IN
bolstered  	VBN
report  	NN
sign  	NN
not  	RB
tighten  	VB
credit  	NN
Higher  	JJR
selected  	JJ
contributed  	VBD
said  	VBD
summer  	NN
stalled  	VBD
failed  	VBD
attract  	VB
foreign  	JJ
investment  	NN
people  	NNS
hoped  	VBN
Some  	DT
traders  	NNS
attributed  	VBD
afternoon  	NN
Plunge  	NNP
Gains  	NNP
Industrials  	NNS
Drop  	NNP
past  	JJ
days  	NNS
clear  	JJ
risk  	NN
out  	RP
there  	RB
Traders  	NNS
30-year  	JJ
Treasury  	NNP
tobacco  	NN
stabilize  	VB
yesterday  	NN
An  	DT
unexpectedly  	RB
CPI  	NNP
easily  	RB
knock  	VB
upturn  	NN
climb  	NN
ended  	VBD
generally  	RB
unexpected  	JJ
steep  	JJ
gave  	VBD
additional  	JJ
share  	NN
sagged  	VBN
January  	NNP
firming  	VBG
remained  	VBD
company  	NN
natural  	JJ
gas  	NN
reserves  	NNS
again  	RB
pause  	NN
August  	NNP
September  	NNP
reflecting  	VBG
beyond  	IN
upper  	JJ
limit  	NN
range  	NN
opening  	NN
sell  	NN
programs  	NNS
tied  	VBD
stock-index  	NN
arbitrage  	NN
pulled  	VBD
NEW  	JJ
YORK  	NNP
Although  	IN
rebounded  	VBD
sell-off  	NN
reversal  	NN
necessary  	JJ
before  	IN
next  	JJ
presidential  	JJ
election  	NN
Part  	NN
Stock  	NNP
late  	JJ
bargain-hunting  	NN
blunted  	VBD
evidence  	NN
interest  	NN
rates  	NNS
jump  	NN
curbed  	VBD
enthusiasm  	NN
initially  	RB
morning  	NN
soared  	VBD
weekend  	NN
decision  	NN
Organization  	NNP
Petroleum  	NNP
Exporting  	NNP
Countries  	NNPS
renew  	VB
seek  	VB
cooperation  	NN
nonmember  	JJ
producers  	NNS
moved  	VBD
response  	NN
change  	NN
direction  	NN
coincided  	VBD
tumbled  	VBD
growing  	VBG
stalling  	NN
disappearing  	VBG
dramatic  	JJ
crude  	JJ
major  	JJ
reductions  	NNS
then  	RB
plunge  	NN
latch  	VB
new  	JJ
concept  	NN
''  	''
continue  	VB
along  	IN
ride  	NN
put  	VBD
damper  	NN
shrugged  	VBD
poor  	JJ
reading  	NN
instead  	RB
focused  	VBD
Another  	DT
cited  	VBD
bedrock  	NN
surprising  	JJ
caused  	VBD
average  	NN
skid  	VB
points  	NNS
bell  	NN
session  	NN
powerful  	JJ
'Blue-Chip  	JJ
Close  	NNP
Down  	NNP
On  	IN
Session-Long  	JJ
Weakness  	NNP
analysts  	NNS
view  	VBP
period  	NN
1960s  	NNS
through  	IN
extended  	JJ
shot  	VBD
buying  	VBG
short-term  	JJ
looking  	VBG
quick  	JJ
Lower  	JJR
precious-metals  	NNS
slight  	JJ
disappointment  	NN
did  	VBD
caught  	VBD
abrupt  	JJ
midday  	NN
selling  	NN
Peroni  	NNP
believes  	VBZ
portend  	VB
somewhat  	RB
ahead  	RB
looked  	VBD
attractive  	JJ
goes  	VBZ
tailspin  	NN
fundamental  	JJ
skyrocket.  	VBP
he  	PRP
maintains  	VBZ
any  	DT
be  	VB
accompanied  	VBN
shortly  	RB
jittery  	JJ
technology  	NN
That  	IN
face  	NN
betrays  	VBZ
underlying  	JJ
desire  	NN
still  	RB
Burnett  	NNP
noted  	VBD
today  	NN
added  	VBD
bonds.  	VB
expects  	VBZ
few  	JJ
stage  	VB
concurrent  	JJ
Firmer  	JJR
And  	CC
Are  	NNP
Factors  	NNP
offset  	VB
soft  	JJ
sales  	NNS
Wal-Mart  	NNP
Stores  	NNPS
We\  	NNP
've  	VBP
got  	VBN
moving  	VBG
building  	NN
bit  	NN
delayed  	JJ
reaction  	NN
midafternoon  	NN
release  	NN
minutes  	NNS
Reserve\  	NNP
meeting  	NN
turned  	VBD
earlier  	RBR
until  	IN
Slide  	NNP
Could  	NNP
Roil  	NNP
Importer  	NN
Might  	NNP
Take  	NNP
Hit  	NNP
Slower  	NNP
Foreign  	NNP
Demand  	NNP
May  	NNP
Put  	NNP
Dent  	NNP
Too  	NNP
bad  	JJ
can  	MD
lead  	VB
`  	``
Is  	VBZ
10-year  	JJ
going  	VBG
follow  	VB
?  	.
\  	NNP
Crude  	NNP
growth  	NN
bullish  	JJ
willing  	JJ
accept  	VB
greater  	JJR
volatility  	NN
rather  	RB
sticking  	VBG
tried-and-true  	JJ
belief  	NN
receive  	VB
returns  	NNS
beating  	VBG
disappointing  	JJ
General  	NNP
Electric  	NNP
Advanced  	NNP
Micro  	NNP
Devices  	NNPS
closing  	NN
result  	NN
favorable  	JJ
consumer-price  	JJ
index  	NN
propel  	VB
Wall  	NNP
Street  	NNP
given  	VBN
gift  	NN
faded  	VBD
progressed  	VBD
FedEx  	NNP
second-quarter  	JJ
boosted  	VBD
outlook  	NN
lifting  	VBG
wind  	NN
sails  	NNS
Gold  	NN
usually  	RB
something  	NN
thinks  	VBZ
head  	VB
keep  	VB
hurting  	VBG
knocking  	VBG
blue-chip  	NN
increase  	VB
helping  	VBG
squelch  	JJ
inflationary  	JJ
pressures  	NNS
pushed  	VBN
reliable  	JJ
dividend  	NN
used  	VBN
substitute  	NN
income-seeking  	JJ
amount  	NN
income  	NN
produce  	VBP
per  	IN
invested  	VBN
Utility  	NN
love  	NN
traded  	VBD
Rate  	NNP
Increases  	VBZ
Mar  	NNP
Once-Bright  	NNP
Hopes  	NNP
Surge  	NNP
top  	NN
showing  	VBG
durable-goods  	JJ
orders  	NNS
economically  	RB
Dow-industrial  	JJ
component  	NN
Caterpillar  	NNP
late-session  	JJ
selloff  	NN
Merck  	NNP
trimmed  	VBD
early-session  	JJ
Optimistic  	JJ
believe  	VBP
corporate  	JJ
so  	RB
permit  	VB
worries  	NNS
seasonal  	JJ
Home  	NNP
Depot  	NNP
Pace  	NNP
Blue  	NNP
Chips  	NNP
Soar  	VBP
Declines  	NNP
finished  	VBD
although  	IN
aftermath  	NN
Hurricane  	NNP
Katrina  	NNP
American  	NNP
Airlines  	NNP
parent  	NN
AMR  	NNP
Humana  	NNP
Record  	NNP
End  	NNP
Session  	NNP
Mixed  	NNP
Hits  	NNP
High  	NNP
without  	IN
break  	NN
April  	NNP
vulnerable  	JJ
pullback  	NN
announcement  	NN
letting  	VBG
currency  	NN
float  	NN
sent  	VBD
shock  	NN
below  	IN
time  	NN
month  	NN
Protein  	NNP
Design  	NNP
Labs  	NNP
Gain  	NNP
Aided  	NNP
By  	IN
Decline  	NNP
In  	IN
hold  	VB
robust  	JJ
confidence  	NN
held  	VBD
own  	JJ
fresh  	JJ
outlooks  	NNS
Nike  	NNP
together  	RB
terrorism  	NN
withstood  	VBD
attention  	NN
positive  	JJ
Genentech  	NNP
actually  	RB
Thursday  	NNP
featured  	VBD
acquisition-related  	JJ
activity  	NN
involving  	VBG
PacifiCare  	NNP
Health  	NNP
Systems  	NNPS
series  	NN
serious  	JJ
trouble  	NN
world  	NN
tensions  	NNS
years  	NNS
specter  	NN
combined  	VBD
caution  	NN
Cisco  	NNP
concerns  	NNS
Group  	NNP
scurrying  	VBG
sidelines  	NNS
Boeing  	NNP
Help  	NNP
Climb  	NNP
Major  	JJ
Indexes  	NNS
Post  	NNP
Price  	NNP
course  	NN
hitting  	VBG
intraday  	NN
Price-Earnings  	NNS
Ratio  	NNP
Expected  	NNP
Yields  	NNP
focus  	NN
away  	RB
Strength  	NN
recover  	VB
four-month  	JJ
quashed  	VBD
encouraging  	VBG
comments  	NNS
Chairman  	NNP
Alan  	NNP
Greenspan  	NNP
Walt  	NNP
Disney  	NNP
attention-getters  	NNS
day  	NN
Most  	JJS
economists  	NNS
who  	WP
predict  	VBP
assume  	VB
GDP  	NNP
weaker  	JJR
give  	VB
very  	RB
much  	RB
encouraged  	VBN
strengthened  	JJ
get  	VB
October  	NNP
peaked  	VBD
join  	VB
depends  	VBZ
idea  	NN
think  	VBP
underestimating  	VBG
{  	(
}  	)
general  	JJ
worked  	VBD
way  	NN
rallied  	VBD
one-point  	JJ
official  	JJ
discount  	NN
cue  	NN
dropping  	VBG
straight  	JJ
tracking  	VBG
tumbling  	VBG
surged  	VBD
rapid  	JJ
main  	JJ
feel  	VBP
November  	NNP
played  	VBN
crucial  	JJ
role  	NN
impressive  	JJ
set  	VB
table  	NN
engine  	NN
driving  	VBG
thrust  	NN
long-term  	JJ
worried  	JJ
sold  	VBD
host  	NN
see  	VB
margins  	NNS
contract  	NN
if  	IN
swept  	VBD
even  	RB
though  	IN
reached  	VBN
18-month  	JJ
Yesterday  	NN
came  	VBD
Manuel  	NNP
Johnson  	NNP
does  	VBZ
expect  	VB
return  	VB
prevailed  	VBD
explosive  	JJ
Consumer  	NN
hard  	RB
heightened  	VBD
oil-field  	JJ
services  	NNS
Rebounds  	NNPS
drug  	NN
drive  	VB
December  	NNP
support  	NN
narrowly  	RB
dominated  	VBN
glumness  	NN
insider-trading  	JJ
scandal  	NN
nervousness  	NN
approach  	NN
Friday\  	NNP
triple  	JJ
witching  	VBG
expirations  	NNS
lent  	VBD
overall  	JJ
measures  	NNS
Selected  	VBN
Persian  	NNP
Gulf  	NNP
situation  	NN
headed  	VBD
gained  	VBD
level  	NN
ago  	RB
broke  	VBD
31-a-barrel  	JJ
mark  	NN
latest  	JJS
officials  	NNS
how  	WRB
appeared  	VBD
precious-metal  	JJ
conjure  	VB
burst  	VB
onto  	IN
scene  	NN
Market  	NNP
Puzzling  	VBG
Buyers  	NNP
Large  	NNP
Small  	NNP
Keep  	NNP
Pouring  	NNP
Bear  	NNP
Cites  	NNP
Plunging  	NNP
profit-taking  	NN
continuing  	VBG
optimism  	NN
improvement  	NN
Tokyo  	NNP
London  	NNP
surprised  	JJ
didn\'t  	JJ
consecutive  	JJ
go  	VB
Arco  	NNP
recommendation  	NN
board  	NN
notable  	JJ
exception  	NN
oil-related  	JJ
contended  	VBD
spilled  	VBD
fact  	NN
focusing  	VBG
it\  	NN
less  	JJR
problem  	NN
watchers  	NNS
feared  	VBD
reluctant  	JJ
anytime  	RB
soon  	RB
appears  	VBZ
related  	VBN
pickup  	NN
pace  	NN
lofty  	JJ
indexes  	NNS
left  	VBN
enough  	RB
withdraw  	VB
sight  	NN
Transportation  	NN
fuel  	VB
later  	RBR
near  	JJ
Commodity  	NNP
Research  	NNP
Bureau  	NNP
settled  	VBD
tight  	JJ
active  	JJ
spurred  	VBN
Thrusting  	VBG
need  	NN
diversify  	VB
riches  	NNS
generated  	VBN
savings  	NNS
surplus  	NN
climbed  	VBD
showed  	VBD
inventories  	NNS
increasing  	VBG
wore  	NN
flat  	JJ
firmer  	JJR
repeated  	VBD
injections  	NNS
funds  	NNS
banking  	NN
system  	NN
Precious-metal  	JJ
five-year  	JJ
'Stocks  	NNS
Regain  	VBP
Lost  	NNP
Ground  	NNP
Rebound  	NNP
reasons  	NNS
punishment  	NN
fastgrowing  	VBG
enduring  	VBG
being  	VBG
dealt  	VBN
sparking  	VBG
solid  	JJ
restrained  	VBD
gross-domestic-product  	NN
Also  	RB
often  	RB
lose  	VB
oil-producing  	JJ
nations  	NNS
substantial  	JJ
heating  	NN
indications  	NNS
OPEC  	NNP
production  	NN
restraint  	NN
reflected  	VBN
lethargic  	JJ
utility  	NN
prior  	RB
yesterday\  	VB
across-the-board  	JJ
Should  	MD
raise  	VB
cash  	NN
Was  	VBD
wise  	VBZ
switch  	VB
Chevron  	NNP
lost  	VBD
British  	JJ
pound  	NN
skeptical  	JJ
bid  	NN
group  	NN
Sir  	NNP
James  	NNP
Goldsmith  	NNP
taking  	VBG
lowest  	JJS
backed  	VBD
shaken  	VBN
throttled  	VBD
follow-up  	JJ
Oops  	UH
!  	.
Points  	NNS
Sharp  	NNP
Turnabout  	NNP
Hectic  	JJ
Late  	JJ
Trading  	NN
Erases  	NNP
New  	NNP
Set  	NNP
Effect  	NNP
'Sell  	NNP
Programs  	NNP
Triggers  	NNP
apparently  	RB
Why  	WRB
She  	PRP
she  	PRP
suspects  	VBZ
waiting  	VBG
look  	VB
placed  	VBD
firm  	JJ
bets  	NNS
ticked  	VBD
crude-oil  	NN
escalating  	VBG
More  	JJR
puzzling  	NN
blithely  	RB
hunkered  	VBN
fret  	VBP
unless  	IN
current  	JJ
rapidly  	RB
unravel  	VB
path  	NN
beginning  	NN
resulting  	JJ
console  	VB
unable  	JJ
developed  	VBN
planned  	VBD
capacity  	NN
whatever  	WDT
military  	JJ
action  	NN
place  	NN
number  	NN
money  	NN
violence  	NN
disrupt  	VB
flow  	NN
field-services  	JJ
others  	NNS
question  	VBP
Further  	JJ
fortified  	VBD
allowing  	VBG
post  	VB
sprightly  	RB
participate  	VB
Several  	JJ
anticipation  	NN
inventory  	NN
natural-gas  	JJ
paper  	NN
forest-products  	NNS
wood-product  	NN
you  	PRP
prospects  	NNS
peace  	NN
settlement  	NN
eased  	VBD
threats  	NNS
preceding  	VBG
indicated  	VBD
starting  	VBG
kick  	VB
Even  	RB
staged  	VBD
inasmuch  	JJ
might  	MD
suggested  	VBN
should  	MD
dim  	VB
supply-demand  	JJ
considerations  	NNS
Merger  	NN
talk  	NN
entertainment  	NN
source  	NN
names  	NNS
wake  	NN
sinking  	VBG
under  	IN
weight  	NN
sympathy  	NN
wouldn\'t  	NN
keen  	JJ
gold-company  	JJ
combination  	NN
blue  	JJ
chips  	NNS
Saudi  	NNP
Paper  	NNP
notched  	VBD
modest  	JJ
critical  	JJ
survey  	NN
expected  	VBD
unnerving  	VBG
whether  	IN
inspired  	VBD
already  	RB
Phelps  	NNP
Dodge  	NNP
Freeport-McMoran  	NNP
Copper  	NNP
pushing  	VBG
allow  	VB
I  	PRP
want  	VBP
shift  	VB
my  	PRP$
Rising  	VBG
Advance  	NNP
Steep  	NNP
imply  	VB
Japan\  	NNP
deserve  	VB
P/E  	NNP
ratios  	NNS
Blue-chip  	JJ
modestly  	RB
manufacturing  	NN
aggressiveness  	NN
High-technology  	JJ
overcame  	VBP
worry  	VBP
industry  	NN
notch  	VB
patch  	NN
tentative  	JJ
statements  	NNS
energy-services  	NNS
field-service  	NN
pricing  	NN
products  	NNS
loss  	NN
anticipated  	JJ
doldrums  	NNS
Banking  	VBG
consolidation  	NN
silver-mining  	JJ
investor  	NN
Warren  	NNP
Buffett  	NNP
knocked  	VBN
oil-services  	NNS
unemployment  	NN
fleeing  	VBG
phenomenon  	NN
tracked  	VBD
remains  	VBZ
check  	NN
violent  	JJ
managed  	VBD
muted  	JJ
buffeted  	VBN
Thanks  	NNS
smaller  	JJR
broad  	JJ
primed  	VBN
meltdown  	NN
second-biggest  	JJ
single-day  	JJ
Exxon  	NNP
late-day  	JJ
program  	NN
actively  	RB
York  	NNP
Exchange  	NNP
history  	NN
underpinned  	VBD
propelling  	VBG
setting  	VBG
tone  	NN
surging  	VBG
especially  	RB
stronger-than-expected  	JJ
fourth  	JJ
analyst  	NN
pay  	VB
price/earnings  	NNS
multiple  	NN
chemical  	JJ
ample  	JJ
probably  	RB
'Industrials  	NNS
Quiet  	NNP
Companies  	NNP
opened  	VBD
greatest  	JJS
exposure  	NN
enjoyed  	VBD
strongest  	JJS
Caution  	NNP
highly  	RB
employment  	NN
outweighed  	VBD
Recent  	JJ
uncertainty  	NN
Iraq  	NNP
Reaction  	NNP
Give  	NNP
Up  	NNP
University  	NNP
Michigan  	NNP
weak  	JJ
edged  	VBD
bigger  	JJR
accounted  	VBD
portion  	NN
Other  	JJ
stoked  	VBD
briefly  	VBP
lifted  	VBD
within  	IN
hair  	NN
finish  	NN
regional  	JJ
once  	RB
budget  	NN
drew  	VBD
Rally  	NNP
Spur  	NNP
To  	TO
Loss  	NNP
one-third  	NN
trim  	VB
Warning  	VBG
You\  	NNP
'd  	MD
hate  	VB
call  	NN
correct  	NN
performance  	NN
neutralized  	VBN
market\  	NN
suggests  	VBZ
While  	IN
tame  	JJ
bidding  	NN
mustered  	VBD
problems  	NNS
poses  	NNS
abroad  	RB
joined  	VBD
broad-based  	JJ
referendum  	NN
kept  	VBN
dragged  	VBD
addition  	NN
hard-pressed  	JJ
ignore  	VB
continues  	VBZ
flood  	VB
stabilizes  	VBD
rises  	NNS
permanently  	RB
Analysts  	NNS
unsettled  	VBD
received  	VBD
eroded  	VBD
first-quarter  	JJ
robbed  	VBD
forward  	NN
resurgent  	JJ
bond-market  	NN
solidly  	RB
depreciating  	NN
built-in  	JJ
operations  	NNS
chased  	VBD
reassuring  	JJ
Interest-rate  	NNP
whose  	WP$
behind  	IN
year-end  	JJ
important  	JJ
strongly  	RB
undermining  	JJ
tax-cut-driven  	JJ
remain  	VBP
concerned  	JJ
steady  	JJ
prospect  	NN
tightening  	VBG
snapped  	VBD
sessions  	NNS
finally  	RB
downdraft  	NN
post-World  	JJ
War  	NNP
II  	NNP
two-year  	JJ
skidded  	VBD
tumble  	JJ
encourage  	VB
Troubling  	VBG
worst  	JJS
fourth-straight  	JJ
producer  	NN
cleared  	VBD
declined  	VBD
nervous  	JJ
rumors  	NNS
liquidations  	NNS
mortgage-backed  	JJ
securities  	NNS
shove  	VB
full  	JJ
point  	NN
Mostly  	NNP
Low  	NNP
Precious-metals  	NNS
dispelled  	VBD
widely  	RB
resumed  	VBD
Uncertainty  	NN
highest  	JJS
erode  	VB
reduces  	VBZ
value  	NN
foreigners  	NNS
investments  	NNS
dollardenominated  	JJ
Surprisingly  	RB
rout  	NN
inaction  	NN
effort  	NN
control  	VB
Dazed  	NNP
confused  	VBD
leaving  	VBG
mirrored  	VBN
movement  	NN
throughout  	IN
certainly  	RB
pummel  	VB
badly  	RB
unconvinced  	JJ
settling  	VBG
Tumbling  	VBG
depressed  	VBD
futures-related  	JJ
When  	WRB
plummeted  	VBD
mounted  	VBD
carried  	VBD
crept  	VBD
watched  	VBD
including  	VBG
snapback  	NN
beleaguered  	JJ
underwent  	VBD
phenomenal  	JJ
providing  	VBG
foundation  	NN
handful  	NN
propelled  	VBD
Sharply  	NNP
made  	VBN
fairly  	RB
quiet  	JJ
interest-rate-sensitive  	JJ
equity  	NN
Canelo  	NNP
doesn\'t  	VBZ
derailed  	VBD
Continued  	JJ
preyed  	VBD
upon  	IN
powered  	VBD
yield  	NN
petered  	VBD
leave  	VB
ceiling  	NN
untouched  	JJ
surprise  	NN
huge  	JJ
England  	NNP
base  	NN
Slumping  	VBG
tempered  	VBD
spirits  	NNS
leading  	VBG
ultimately  	RB
rattled  	VBD
Equities  	NNS
3/4-point  	JJ
Disappointing  	VBG
ignored  	VBD
health-care  	JJ
supported  	VBN
buoyed  	VBN
bill  	NN
defeated  	VBN
Turmoil  	NNP
Boost  	NNP
Erase  	NNP
All  	NNP
effectively  	RB
wiping  	VBG
equal  	JJ
If  	IN
professionals  	NNS
thus  	RB
capturing  	VBG
eat  	VB
forced  	VBD
sink  	VB
contracts  	NNS
grain  	NN
previous  	JJ
periods  	NNS
mutual  	JJ
turn  	VB
sour  	NN
switched  	VBD
inched  	VBD
soothed  	VBD
jitters  	NNS
negative  	JJ
Retreat  	NNP
Worries  	VBZ
Surging  	VBG
hope  	VBP
federal  	JJ
changes  	NNS
Precious  	JJ
Dudack  	NNP
emotional  	JJ
easing  	NN
skirmishing  	NN
Russia  	NNP
depress  	VB
accelerating  	VBG
Supplies  	NNS
disrupted  	VBN
drastically  	RB
putting  	VBG
pull  	VB
pour  	VBP
Eastman  	NNP
Kodak  	NNP
mask  	VB
increased  	VBD
McAlinden  	NNP
reignite  	VB
restrain  	VB
Fall  	VBP
Prospect  	NNP
Leap  	NNP
sluggish  	JJ
That\  	NNP
bounce  	VB
